epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,1249,,,,0.35161861777305603,0.4374701976776123,0.17656022310256958
0,1249,0.24995414912700653,0.40766239166259766,0.1588611602783203,,,
1,2499,,,,0.3510780930519104,0.43203598260879517,0.17563679814338684
1,2499,0.37000414729118347,0.44353151321411133,0.1858420968055725,,,
2,3749,,,,0.3703423738479614,0.45529669523239136,0.18736332654953003
2,3749,0.4022541642189026,0.463114470243454,0.2040654867887497,,,
3,4999,,,,0.40707674622535706,0.47239676117897034,0.2077637016773224
3,4999,0.3686933219432831,0.4850718080997467,0.21649643778800964,,,
4,6249,,,,0.39703476428985596,0.4785747528076172,0.2040296494960785
4,6249,0.38580265641212463,0.49743443727493286,0.22819684445858002,,,
5,7499,,,,0.4202568233013153,0.4850787818431854,0.2162775844335556
5,7499,0.4587253928184509,0.5079686641693115,0.2388642579317093,,,
6,8749,,,,0.44493985176086426,0.5071280598640442,0.23151183128356934
6,8749,0.40809565782546997,0.5126502513885498,0.24353443086147308,,,
7,9999,,,,0.45003175735473633,0.5057584643363953,0.2338276356458664
7,9999,0.47739166021347046,0.5210984945297241,0.2508391737937927,,,
8,11249,,,,0.4341432750225067,0.5032501220703125,0.22504079341888428
8,11249,0.4231790006160736,0.5294980406761169,0.2551690936088562,,,
9,12499,,,,0.4711736738681793,0.5231476426124573,0.247358039021492
9,12499,0.43431562185287476,0.539342999458313,0.2636370360851288,,,
10,13749,,,,0.4565114676952362,0.5082433223724365,0.2387392818927765
10,13749,0.4395514130592346,0.5424884557723999,0.2675218880176544,,,
11,14999,,,,0.4823368787765503,0.523188054561615,0.2534254491329193
11,14999,0.5110517144203186,0.5480561852455139,0.27340632677078247,,,
12,16249,,,,0.5065340995788574,0.5350159406661987,0.26820677518844604
12,16249,0.44747230410575867,0.5512375831604004,0.27394193410873413,,,
13,17499,,,,0.46829429268836975,0.49684563279151917,0.24447514116764069
13,17499,0.45399340987205505,0.5574125051498413,0.27927348017692566,,,
14,18749,,,,0.4686383306980133,0.5329530835151672,0.2474307417869568
14,18749,0.46616044640541077,0.5628573894500732,0.287911981344223,,,
15,19999,,,,0.5064758062362671,0.5477215051651001,0.2703404724597931
15,19999,0.4695483148097992,0.5674816966056824,0.2909988760948181,,,
16,21249,,,,0.4749833941459656,0.5261714458465576,0.2513633966445923
16,21249,0.46934524178504944,0.5716169476509094,0.29160276055336,,,
17,22499,,,,0.5037940144538879,0.5466102361679077,0.2691190242767334
17,22499,0.4702184200286865,0.5742740631103516,0.29260778427124023,,,
18,23749,,,,0.5163241028785706,0.5481712818145752,0.27674752473831177
18,23749,0.4774363040924072,0.5760579705238342,0.2976526916027069,,,
19,24999,,,,0.4574670195579529,0.5380734801292419,0.2795324921607971
19,24999,0.4877488315105438,0.5840073227882385,0.30574318766593933,,,
20,26249,,,,0.5180492401123047,0.5420986413955688,0.2780562937259674
20,26249,0.49266132712364197,0.5881800055503845,0.30977392196655273,,,
21,27499,,,,0.503109335899353,0.536117434501648,0.2685006558895111
21,27499,0.49038025736808777,0.5893223285675049,0.3088395595550537,,,
