epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,1249,,,,0.33236947655677795,0.4251214563846588,0.16635242104530334
0,1249,0.24756930768489838,0.4037902057170868,0.15675213932991028,,,
1,2499,,,,0.36256736516952515,0.43255218863487244,0.1810557246208191
1,2499,0.3722599446773529,0.4396945834159851,0.18596330285072327,,,
2,3749,,,,0.3739866316318512,0.44953489303588867,0.18875667452812195
2,3749,0.4076247215270996,0.4658029079437256,0.20670855045318604,,,
3,4999,,,,0.41667014360427856,0.4852483868598938,0.21406689286231995
3,4999,0.41453322768211365,0.47854432463645935,0.21206870675086975,,,
4,6249,,,,0.39112144708633423,0.47123488783836365,0.20005784928798676
4,6249,0.4327477216720581,0.4902037978172302,0.22286517918109894,,,
5,7499,,,,0.4206950068473816,0.49024760723114014,0.21767155826091766
5,7499,0.4481792151927948,0.49814972281455994,0.23177553713321686,,,
6,8749,,,,0.4274422824382782,0.48672914505004883,0.2200385481119156
6,8749,0.4585188925266266,0.5049605369567871,0.23804639279842377,,,
7,9999,,,,0.42115193605422974,0.48708850145339966,0.21691718697547913
7,9999,0.4678061902523041,0.5116438269615173,0.24407677352428436,,,
8,11249,,,,0.4131838381290436,0.49325913190841675,0.21416513621807098
8,11249,0.4706415832042694,0.5185238122940063,0.24642585217952728,,,
9,12499,,,,0.4523380994796753,0.5134330987930298,0.23624363541603088
9,12499,0.4235352575778961,0.5273450016975403,0.25494879484176636,,,
10,13749,,,,0.449496328830719,0.4942862391471863,0.23322373628616333
10,13749,0.43172144889831543,0.532277524471283,0.2608354985713959,,,
11,14999,,,,0.4733908474445343,0.5259590744972229,0.2497689425945282
11,14999,0.49563318490982056,0.5355840921401978,0.2629167139530182,,,
12,16249,,,,0.45262929797172546,0.5081994533538818,0.2356303632259369
12,16249,0.4343143105506897,0.5382572412490845,0.26352930068969727,,,
13,17499,,,,0.4538595378398895,0.48776373267173767,0.2332647144794464
13,17499,0.43990278244018555,0.5430428385734558,0.2680165469646454,,,
14,18749,,,,0.45993345975875854,0.522668719291687,0.2411992996931076
14,18749,0.5130409598350525,0.5465232133865356,0.274282842874527,,,
15,19999,,,,0.47376784682273865,0.5261256098747253,0.24927595257759094
15,19999,0.45419490337371826,0.5535563826560974,0.27868321537971497,,,
16,21249,,,,0.4459981918334961,0.5107272267341614,0.23336203396320343
16,21249,0.45438703894615173,0.5567310452461243,0.2794305980205536,,,
17,22499,,,,0.4864514470100403,0.5324041247367859,0.2583589255809784
17,22499,0.4505498707294464,0.5591968894004822,0.27764368057250977,,,
18,23749,,,,0.4847981631755829,0.5296715497970581,0.2563961148262024
18,23749,0.4626525640487671,0.5626246929168701,0.28585541248321533,,,
19,24999,,,,0.48016488552093506,0.5117136836051941,0.25153711438179016
19,24999,0.46885839104652405,0.5674271583557129,0.29042986035346985,,,
20,26249,,,,0.49762535095214844,0.5358248353004456,0.26417842507362366
20,26249,0.4709083139896393,0.5708305835723877,0.2926311194896698,,,
21,27499,,,,0.48180264234542847,0.5198878645896912,0.2533389627933502
21,27499,0.4721856117248535,0.5750547647476196,0.29433903098106384,,,
22,28749,,,,0.5006608963012695,0.539070188999176,0.26611191034317017
22,28749,0.47687116265296936,0.5767724514007568,0.2975567877292633,,,
23,29999,,,,0.5043041706085205,0.5408307909965515,0.2690455913543701
23,29999,0.47901079058647156,0.5788276195526123,0.29936546087265015,,,
24,31249,,,,0.5128183364868164,0.5515249967575073,0.2747577130794525
24,31249,0.48380085825920105,0.5833461284637451,0.3030177652835846,,,
25,32499,,,,0.4495883584022522,0.5475425720214844,0.27480271458625793
25,32499,0.4948575496673584,0.58842533826828,0.3117177188396454,,,
26,33749,,,,0.518305242061615,0.5492587685585022,0.2770906090736389
26,33749,0.48941758275032043,0.5857481360435486,0.30745306611061096,,,
27,34999,,,,0.5186881422996521,0.5569707155227661,0.27875950932502747
27,34999,0.4414132535457611,0.5904461145401001,0.31276068091392517,,,
28,36249,,,,0.42534178495407104,0.533770740032196,0.2588091194629669
28,36249,0.49549463391304016,0.5971673130989075,0.31355148553848267,,,
29,37499,,,,0.4555666446685791,0.5583182573318481,0.2804364562034607
29,37499,0.49858951568603516,0.5986531376838684,0.31593403220176697,,,
30,38749,,,,0.46471530199050903,0.5547548532485962,0.28586840629577637
30,38749,0.4984382092952728,0.598660409450531,0.3159482777118683,,,
