epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,1249,,,,0.34428149461746216,0.42892706394195557,0.1713981181383133
0,1249,0.2551707327365875,0.3794088065624237,0.1412631720304489,,,
1,2499,,,,0.40360310673713684,0.4573221802711487,0.20263497531414032
1,2499,0.3710494637489319,0.43263643980026245,0.18464043736457825,,,
2,3749,,,,0.4321644604206085,0.4772537648677826,0.22062812745571136
2,3749,0.41979002952575684,0.4671716094017029,0.21349221467971802,,,
3,4999,,,,0.417336642742157,0.4902917444705963,0.24374842643737793
3,4999,0.39959970116615295,0.49190017580986023,0.23577800393104553,,,
4,6249,,,,0.48777374625205994,0.496458500623703,0.2962416708469391
4,6249,0.4571685492992401,0.5123792290687561,0.2708653509616852,,,
5,7499,,,,0.5255886316299438,0.5078960061073303,0.3276602029800415
5,7499,0.5010355114936829,0.5299544334411621,0.3025001585483551,,,
6,8749,,,,0.5344488024711609,0.5273613333702087,0.33530303835868835
6,8749,0.5232991576194763,0.5401511788368225,0.32085391879081726,,,
7,9999,,,,0.5242242217063904,0.5092764496803284,0.325049489736557
7,9999,0.46819868683815,0.5470916628837585,0.3243391215801239,,,
8,11249,,,,0.5375325679779053,0.5178301930427551,0.3386117219924927
8,11249,0.4865087568759918,0.5606771111488342,0.3399609923362732,,,
9,12499,,,,0.5293974876403809,0.5264763236045837,0.330441415309906
9,12499,0.4959802031517029,0.57172030210495,0.34938713908195496,,,
10,13749,,,,0.5441297292709351,0.5329213738441467,0.3405296802520752
10,13749,0.5165009498596191,0.576149582862854,0.3724445700645447,,,
11,14999,,,,0.541363000869751,0.5227399468421936,0.33808714151382446
11,14999,0.5202312469482422,0.5813373327255249,0.374878466129303,,,
12,16249,,,,0.5502151846885681,0.5434131622314453,0.3472757041454315
12,16249,0.5248917937278748,0.5840833187103271,0.37947869300842285,,,
13,17499,,,,0.5765045881271362,0.5536328554153442,0.3693781793117523
13,17499,0.5263360738754272,0.5948178172111511,0.37984615564346313,,,
14,18749,,,,0.5076137781143188,0.5520761013031006,0.36588314175605774
14,18749,0.5366829633712769,0.599888026714325,0.3898507356643677,,,
15,19999,,,,0.5633533000946045,0.5558252334594727,0.3550643026828766
15,19999,0.5438862442970276,0.5991635918617249,0.3984989821910858,,,
16,21249,,,,0.584144115447998,0.5629246234893799,0.38114669919013977
16,21249,0.55617755651474,0.6055330038070679,0.41313645243644714,,,
17,22499,,,,0.49656006693840027,0.5471512675285339,0.3545902967453003
17,22499,0.559680700302124,0.6116790175437927,0.41421887278556824,,,
18,23749,,,,0.5708569288253784,0.5518049597740173,0.3701281249523163
18,23749,0.5627207159996033,0.6136165857315063,0.4180561900138855,,,
19,24999,,,,0.5033361911773682,0.5504333972930908,0.3591485917568207
19,24999,0.5621924996376038,0.6177570223808289,0.4165775775909424,,,
20,26249,,,,0.5126060843467712,0.5620173215866089,0.3702891170978546
20,26249,0.5811870098114014,0.622449517250061,0.43851718306541443,,,
21,27499,,,,0.5358832478523254,0.5759120583534241,0.39341509342193604
21,27499,0.5801355838775635,0.6223129034042358,0.4391787052154541,,,
22,28749,,,,0.5436262488365173,0.5696049332618713,0.4059382379055023
22,28749,0.58859783411026,0.6294366717338562,0.4475434124469757,,,
23,29999,,,,0.5276222825050354,0.5699546337127686,0.3833284378051758
23,29999,0.5898080468177795,0.6321994662284851,0.44986146688461304,,,
24,31249,,,,0.5415340065956116,0.5760181546211243,0.3989434540271759
24,31249,0.6059869527816772,0.6397279500961304,0.4620814025402069,,,
25,32499,,,,0.5342482924461365,0.574855625629425,0.38490763306617737
25,32499,0.6006597876548767,0.6370469331741333,0.4567132294178009,,,
26,33749,,,,0.5539767742156982,0.5716614723205566,0.409743070602417
26,33749,0.6020927429199219,0.6419116258621216,0.4604548513889313,,,
27,34999,,,,0.5514666438102722,0.5785301327705383,0.40064650774002075
27,34999,0.6129108667373657,0.6447060108184814,0.4709744453430176,,,
28,36249,,,,0.5550393462181091,0.5817204117774963,0.40369850397109985
28,36249,0.6207968592643738,0.6519680023193359,0.47552523016929626,,,
29,37499,,,,0.5492025017738342,0.5764889717102051,0.40388208627700806
29,37499,0.6196956634521484,0.6504232287406921,0.47380176186561584,,,
30,38749,,,,0.5606470704078674,0.5734779238700867,0.40648025274276733
30,38749,0.6245020031929016,0.6492581963539124,0.4802689552307129,,,
31,39999,,,,0.5448695421218872,0.594245195388794,0.4001261591911316
31,39999,0.61611407995224,0.6533679366111755,0.4708973169326782,,,
32,41249,,,,0.5370773077011108,0.5673205256462097,0.39021164178848267
32,41249,0.6299019455909729,0.6530018448829651,0.4884168207645416,,,
33,42499,,,,0.5544854402542114,0.5809694528579712,0.41278403997421265
33,42499,0.6241368651390076,0.6557030081748962,0.4762667417526245,,,
34,43749,,,,0.5628983378410339,0.586577832698822,0.41426143050193787
34,43749,0.6306787729263306,0.6587196588516235,0.4866948425769806,,,
35,44999,,,,0.5574455857276917,0.5949880480766296,0.4087965786457062
35,44999,0.6493995189666748,0.6626012325286865,0.5046801567077637,,,
36,46249,,,,0.5597554445266724,0.5939570665359497,0.4093203842639923
36,46249,0.6371094584465027,0.6605167984962463,0.48868295550346375,,,
37,47499,,,,0.5716301798820496,0.593828558921814,0.4188356399536133
37,47499,0.6373571157455444,0.6624327301979065,0.4901590347290039,,,
38,48749,,,,0.5596747994422913,0.5866868495941162,0.4104468822479248
38,48749,0.6485741138458252,0.6646209955215454,0.507433295249939,,,
39,49999,,,,0.5633437037467957,0.5812973976135254,0.407816618680954
39,49999,0.651036262512207,0.6646396517753601,0.5075492858886719,,,
40,51249,,,,0.5656956434249878,0.5846734642982483,0.41216596961021423
40,51249,0.6519377827644348,0.6655007004737854,0.5083159804344177,,,
41,52499,,,,0.5590726733207703,0.5850129723548889,0.4102250933647156
41,52499,0.6511889696121216,0.6682214140892029,0.5068826079368591,,,
42,53749,,,,0.560876190662384,0.5885843634605408,0.4102194607257843
42,53749,0.6540870666503906,0.6693030595779419,0.5109738111495972,,,
43,54999,,,,0.5670877695083618,0.5956279635429382,0.41749754548072815
43,54999,0.6543915867805481,0.6699843406677246,0.5123047232627869,,,
44,56249,,,,0.562969982624054,0.594912588596344,0.41465771198272705
44,56249,0.6601564884185791,0.6685761213302612,0.5140748620033264,,,
