epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,624,,,,0.31719571352005005,0.40763136744499207,0.15702809393405914
0,624,0.26279687881469727,0.38092824816703796,0.14519867300987244,,,
1,1249,,,,0.3938766419887543,0.4448871314525604,0.19701166450977325
1,1249,0.36144813895225525,0.4293338656425476,0.17948704957962036,,,
2,1874,,,,0.41870513558387756,0.48137301206588745,0.21451884508132935
2,1874,0.40036046504974365,0.45639464259147644,0.2021402269601822,,,
3,2499,,,,0.4411766827106476,0.4782571792602539,0.22517290711402893
3,2499,0.43760353326797485,0.4773070812225342,0.22359955310821533,,,
4,3124,,,,0.45129528641700745,0.4856176972389221,0.23195336759090424
4,3124,0.4634096920490265,0.4971473813056946,0.2400830090045929,,,
5,3749,,,,0.47802966833114624,0.49961355328559875,0.24810953438282013
5,3749,0.47856956720352173,0.5085424184799194,0.24998964369297028,,,
6,4374,,,,0.5128940343856812,0.5260763764381409,0.2718447744846344
6,4374,0.4931001663208008,0.5186458826065063,0.2596128582954407,,,
7,4999,,,,0.4954780042171478,0.5160568952560425,0.2600495517253876
7,4999,0.44237375259399414,0.5288266539573669,0.2680433988571167,,,
8,5624,,,,0.5078176259994507,0.5214658975601196,0.26873287558555603
8,5624,0.45596060156822205,0.5404408574104309,0.2784470021724701,,,
9,6249,,,,0.5096863508224487,0.5267460942268372,0.27056652307510376
9,6249,0.4572374224662781,0.5444821715354919,0.28000661730766296,,,
10,6874,,,,0.5251326560974121,0.5328348278999329,0.28046414256095886
10,6874,0.4687303602695465,0.5513381958007812,0.28886571526527405,,,
11,7499,,,,0.4608357846736908,0.5398459434509277,0.2818855345249176
11,7499,0.46637555956840515,0.5533009767532349,0.2874881625175476,,,
12,8124,,,,0.522472083568573,0.5382370352745056,0.27897879481315613
12,8124,0.482777863740921,0.5633748769760132,0.3001449406147003,,,
13,8749,,,,0.5496581196784973,0.5562211871147156,0.2982470691204071
13,8749,0.4863911271095276,0.5700601935386658,0.3034451901912689,,,
14,9374,,,,0.4692724347114563,0.5468346476554871,0.28842324018478394
14,9374,0.4858485460281372,0.5707501769065857,0.3032086491584778,,,
15,9999,,,,0.48552319407463074,0.5585379600524902,0.30218881368637085
15,9999,0.49264881014823914,0.5736154913902283,0.3084355294704437,,,
16,10624,,,,0.4737227261066437,0.560055136680603,0.29274800419807434
16,10624,0.4966045022010803,0.575827956199646,0.31102612614631653,,,
17,11249,,,,0.47473999857902527,0.552970826625824,0.29188740253448486
17,11249,0.5001518726348877,0.5789463520050049,0.31424933671951294,,,
18,11874,,,,0.4730430841445923,0.5542179346084595,0.2917698323726654
18,11874,0.504866898059845,0.5830238461494446,0.31787344813346863,,,
19,12499,,,,0.46912550926208496,0.5413990020751953,0.2880282402038574
19,12499,0.5134241580963135,0.5882760882377625,0.3237664997577667,,,
20,13124,,,,0.4902617335319519,0.5675308108329773,0.3052738606929779
20,13124,0.516808271408081,0.5912548899650574,0.32699400186538696,,,
21,13749,,,,0.5161544680595398,0.5657200217247009,0.31777775287628174
21,13749,0.5196220874786377,0.5926653146743774,0.3290731906890869,,,
22,14374,,,,0.4880056381225586,0.5603912472724915,0.3016171157360077
22,14374,0.5210179686546326,0.5949716567993164,0.3305697739124298,,,
23,14999,,,,0.5035041570663452,0.5710586309432983,0.31414368748664856
23,14999,0.5320978164672852,0.60176682472229,0.3386964499950409,,,
24,15624,,,,0.511376142501831,0.5738108158111572,0.3184291422367096
24,15624,0.5446270108222961,0.6004687547683716,0.34520581364631653,,,
25,16249,,,,0.4978867471218109,0.5718113780021667,0.31194478273391724
25,16249,0.5439738631248474,0.6051719188690186,0.3455398380756378,,,
26,16874,,,,0.5300886631011963,0.570898175239563,0.32856136560440063
26,16874,0.5358399748802185,0.6031423807144165,0.34046614170074463,,,
27,17499,,,,0.5300876498222351,0.5828844308853149,0.3335992991924286
