epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,1249,,,,0.4818020164966583,0.5070110559463501,0.2523639500141144
0,1249,0.349418044090271,0.49141767621040344,0.2340894490480423,,,
1,2499,,,,0.5146849751472473,0.5212204456329346,0.2736598253250122
1,2499,0.5434109568595886,0.566368818283081,0.2974278926849365,,,
2,3749,,,,0.47831568121910095,0.558225154876709,0.2976650595664978
2,3749,0.5091076493263245,0.5979660153388977,0.3261605501174927,,,
3,4999,,,,0.46640363335609436,0.5370450615882874,0.2850644290447235
3,4999,0.5377311706542969,0.6248865723609924,0.3510127663612366,,,
4,6249,,,,0.520668089389801,0.5961698293685913,0.3315635621547699
4,6249,0.5565285086631775,0.6359500288963318,0.3659030795097351,,,
5,7499,,,,0.4641997814178467,0.5315387845039368,0.282840758562088
5,7499,0.5737006664276123,0.649145245552063,0.3808578550815582,,,
6,8749,,,,0.5536444187164307,0.600946307182312,0.35255166888237
6,8749,0.5896625518798828,0.6580007672309875,0.393623948097229,,,
7,9999,,,,0.5346563458442688,0.5748699307441711,0.33616697788238525
7,9999,0.5953197479248047,0.6582906246185303,0.3967434763908386,,,
8,11249,,,,0.45069876313209534,0.49225977063179016,0.2638675570487976
8,11249,0.6217110753059387,0.6741989254951477,0.41783878207206726,,,
9,12499,,,,0.4988359212875366,0.5431220531463623,0.3050704300403595
9,12499,0.6345685124397278,0.6789901256561279,0.42687639594078064,,,
10,13749,,,,0.5459966659545898,0.6073704957962036,0.3481322228908539
10,13749,0.6285675168037415,0.6823882460594177,0.4264013171195984,,,
11,14999,,,,0.5926247835159302,0.6206094622612,0.3826234042644501
11,14999,0.6392353773117065,0.6862928867340088,0.43351903557777405,,,
12,16249,,,,0.6049579381942749,0.6396232843399048,0.39372098445892334
12,16249,0.6475182175636292,0.6893249750137329,0.44062498211860657,,,
13,17499,,,,0.5820906162261963,0.6383346915245056,0.38094523549079895
13,17499,0.6499913334846497,0.6937546133995056,0.4430942237377167,,,
14,18749,,,,0.5841885209083557,0.6133822798728943,0.37428727746009827
14,18749,0.6689209938049316,0.6966031789779663,0.45735570788383484,,,
15,19999,,,,0.4965755045413971,0.5485953092575073,0.3020237684249878
15,19999,0.6691029071807861,0.6988484859466553,0.45822593569755554,,,
16,21249,,,,0.5550826787948608,0.6267600655555725,0.3583320081233978
16,21249,0.664993166923523,0.6999380588531494,0.45478907227516174,,,
17,22499,,,,0.579587996006012,0.6287834048271179,0.37435126304626465
17,22499,0.6755397915840149,0.7058351635932922,0.4647994935512543,,,
18,23749,,,,0.5902678370475769,0.6169644594192505,0.379142165184021
18,23749,0.6837205290794373,0.7056504487991333,0.47019585967063904,,,
19,24999,,,,0.5019420981407166,0.5419257879257202,0.30567675828933716
19,24999,0.6869249939918518,0.7107340693473816,0.47447699308395386,,,
20,26249,,,,0.5812782645225525,0.6233838200569153,0.3770713210105896
20,26249,0.6898918747901917,0.7143961191177368,0.4783060550689697,,,
21,27499,,,,0.5803650617599487,0.633967399597168,0.3763739764690399
21,27499,0.6872243285179138,0.7142149806022644,0.4762471616268158,,,
22,28749,,,,0.5913643836975098,0.6404425501823425,0.385652095079422
22,28749,0.6946008205413818,0.7163657546043396,0.4823378622531891,,,
23,29999,,,,0.5993694067001343,0.6272249221801758,0.3872145414352417
23,29999,0.6915585398674011,0.7150254249572754,0.4790532886981964,,,
24,31249,,,,0.5190933346748352,0.5798141956329346,0.3235129117965698
24,31249,0.7041335701942444,0.7195596098899841,0.491008460521698,,,
25,32499,,,,0.5249366760253906,0.5822818875312805,0.32859867811203003
25,32499,0.6237311363220215,0.72081059217453,0.4891149401664734,,,
26,33749,,,,0.519310474395752,0.5782749652862549,0.32336515188217163
26,33749,0.6980292201042175,0.7217313051223755,0.4867425560951233,,,
27,34999,,,,0.5639700889587402,0.5966405868530273,0.35723111033439636
27,34999,0.7132952809333801,0.7272418141365051,0.5005922317504883,,,
28,36249,,,,0.5853250622749329,0.6387721300125122,0.3827766478061676
28,36249,0.7133311629295349,0.7308462858200073,0.5006791949272156,,,
29,37499,,,,0.5437597036361694,0.5791334509849548,0.33829015493392944
29,37499,0.7118076682090759,0.729804277420044,0.5003978610038757,,,
30,38749,,,,0.5770453214645386,0.5988368391990662,0.3647195100784302
30,38749,0.7172749638557434,0.7298857569694519,0.5045922994613647,,,
31,39999,,,,0.5516393780708313,0.605185329914093,0.3521461486816406
31,39999,0.7166700959205627,0.7295939922332764,0.5040037035942078,,,
32,41249,,,,0.6254518628120422,0.6484353542327881,0.4118761122226715
32,41249,0.7166308760643005,0.7316717505455017,0.5037517547607422,,,
33,42499,,,,0.6297391057014465,0.651266872882843,0.41621315479278564
33,42499,0.7255343794822693,0.7335085272789001,0.5123292803764343,,,
34,43749,,,,0.593501091003418,0.6058709621429443,0.37928906083106995
34,43749,0.7187801599502563,0.7337464094161987,0.5061746835708618,,,
35,44999,,,,0.5937303900718689,0.6290401816368103,0.3825877904891968
35,44999,0.7245339751243591,0.7360056042671204,0.5130113363265991,,,
36,46249,,,,0.572856068611145,0.6030024886131287,0.36302411556243896
36,46249,0.7243483662605286,0.7357606291770935,0.5120331048965454,,,
37,47499,,,,0.6318328380584717,0.6513119339942932,0.41868188977241516
37,47499,0.7295696139335632,0.7376143336296082,0.5168794989585876,,,
38,48749,,,,0.5699671506881714,0.600685715675354,0.35948285460472107
38,48749,0.7346152663230896,0.740276575088501,0.5224904417991638,,,
39,49999,,,,0.5852741003036499,0.6071942448616028,0.3735010325908661
39,49999,0.7345014214515686,0.7402893900871277,0.5222734212875366,,,
40,51249,,,,0.601432204246521,0.621198832988739,0.3878990709781647
40,51249,0.7362095713615417,0.7393363118171692,0.5234363079071045,,,
41,52499,,,,0.5755276679992676,0.6112865209579468,0.36646443605422974
41,52499,0.6462739109992981,0.7395696640014648,0.515494704246521,,,
42,53749,,,,0.5442666411399841,0.5846344232559204,0.3404574990272522
42,53749,0.7320209741592407,0.7412739992141724,0.5198930501937866,,,
43,54999,,,,0.5946571826934814,0.6255196332931519,0.38400113582611084
43,54999,0.7333669662475586,0.7408236861228943,0.520872175693512,,,
