epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,2499,,,,0.30800798535346985,0.4127315878868103,0.15280289947986603
0,2499,0.2370196282863617,0.3963596224784851,0.1495925635099411,,,
1,4999,,,,0.33152487874031067,0.40579307079315186,0.16252481937408447
1,4999,0.40972864627838135,0.47835835814476013,0.21099188923835754,,,
2,7499,,,,0.39753031730651855,0.4317041337490082,0.1974632292985916
2,7499,0.4615821838378906,0.5106638669967651,0.2419023960828781,,,
3,9999,,,,0.33969223499298096,0.40340569615364075,0.1654495894908905
3,9999,0.4990254342556,0.5334573984146118,0.2652150094509125,,,
